"Year (time)","Geographic Area Name (NAME)","Meaning of Survey Component (SVY_COMP_LABEL)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE)","Meaning of Type of Government (GOVTYPE_LABEL)","Amount (AMOUNT_FORMATTED)"
"2017","New Hampshire","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","3"
"2022","New Hampshire","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","2"
"2012","New Hampshire","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","2"
"2017","New Hampshire","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","2"
"2022","New Hampshire","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","2"
"2012","New Hampshire","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","3"
"2017","New Hampshire","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","3"
"2022","New Hampshire","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","4"
"2012","New Hampshire","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","X"
"2017","New Hampshire","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","X"
"2022","New Hampshire","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","X"
"2012","New Hampshire","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","X"
"2017","New Hampshire","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","X"
"2022","New Hampshire","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","X"
"2012","New Hampshire","Government Organization","GO0018","Total population of county governments","001","State and Local","1,316,470"
"2017","New Hampshire","Government Organization","GO0018","Total population of county governments","001","State and Local","1,342,795"
"2022","New Hampshire","Government Organization","GO0018","Total population of county governments","001","State and Local","1,388,992"
"2012","New Hampshire","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","X"
"2017","New Hampshire","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","X"
"2022","New Hampshire","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","X"
"2012","New Hampshire","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","269,588"
"2017","New Hampshire","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","277,829"
"2022","New Hampshire","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","287,654"
"2012","New Hampshire","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","124,615"
"2017","New Hampshire","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","122,775"
"2022","New Hampshire","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","74,822"
"2012","New Hampshire","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","695,944"
"2017","New Hampshire","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","716,060"
"2022","New Hampshire","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","741,026"
"2012","New Hampshire","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","226,323"
"2017","New Hampshire","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","226,131"
"2022","New Hampshire","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","285,490"
"2012","New Hampshire","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","X"
"2017","New Hampshire","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","X"
"2022","New Hampshire","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","X"
"2012","New Hampshire","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","X"
"2017","New Hampshire","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","X"
"2022","New Hampshire","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","X"
"2012","New Jersey","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","21"
"2017","New Jersey","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","21"
"2022","New Jersey","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","21"
"2012","New Jersey","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","X"
"2017","New Jersey","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","X"
"2022","New Jersey","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","X"
"2012","New Jersey","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","4"
"2017","New Jersey","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","4"
"2022","New Jersey","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","4"
"2012","New Jersey","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","X"
"2017","New Jersey","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","X"
"2022","New Jersey","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","X"
"2012","New Jersey","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","6"
"2017","New Jersey","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","6"
"2022","New Jersey","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","5"
"2012","New Jersey","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","2"
"2017","New Jersey","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","2"
"2022","New Jersey","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","2"
"2012","New Jersey","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","9"
"2017","New Jersey","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","9"
"2022","New Jersey","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","10"
"2012","New Jersey","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","X"
"2017","New Jersey","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","X"
"2022","New Jersey","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","X"
"2012","New Jersey","Government Organization","GO0018","Total population of county governments","001","State and Local","8,791,894"
"2017","New Jersey","Government Organization","GO0018","Total population of county governments","001","State and Local","9,005,644"
"2022","New Jersey","Government Organization","GO0018","Total population of county governments","001","State and Local","9,267,130"
"2012","New Jersey","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","X"
"2017","New Jersey","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","X"
"2022","New Jersey","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","X"
"2012","New Jersey","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","543,204"
"2017","New Jersey","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","526,077"
"2022","New Jersey","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","539,825"
"2012","New Jersey","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","X"
"2017","New Jersey","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","X"
"2022","New Jersey","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","X"
"2012","New Jersey","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","2,193,804"
"2017","New Jersey","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","2,220,578"
"2022","New Jersey","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","1,775,257"
"2012","New Jersey","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","163,348"
"2017","New Jersey","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","156,345"
"2022","New Jersey","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","160,707"
"2012","New Jersey","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","5,891,538"
"2017","New Jersey","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","6,102,644"
"2022","New Jersey","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","6,791,341"
"2012","New Jersey","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","X"
"2017","New Jersey","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","X"
"2022","New Jersey","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","X"
"2012","New Mexico","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","33"
"2017","New Mexico","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","33"
"2022","New Mexico","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","33"
"2012","New Mexico","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","7"
"2017","New Mexico","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","8"
"2022","New Mexico","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","7"
"2012","New Mexico","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","4"
"2017","New Mexico","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","4"
"2022","New Mexico","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","4"
"2012","New Mexico","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","7"
"2017","New Mexico","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","6"
"2022","New Mexico","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","7"
"2012","New Mexico","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","X"
"2017","New Mexico","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","X"
"2022","New Mexico","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","X"
"2012","New Mexico","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","6"
"2017","New Mexico","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","6"
"2022","New Mexico","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","6"
"2012","New Mexico","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","1"
"2017","New Mexico","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","1"
"2022","New Mexico","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","1"
"2012","New Mexico","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","8"
"2017","New Mexico","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","8"
"2022","New Mexico","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","8"
"2012","New Mexico","Government Organization","GO0018","Total population of county governments","001","State and Local","2,059,179"
"2017","New Mexico","Government Organization","GO0018","Total population of county governments","001","State and Local","2,088,070"
"2022","New Mexico","Government Organization","GO0018","Total population of county governments","001","State and Local","2,115,877"
"2012","New Mexico","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","118,280"
"2017","New Mexico","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","136,652"
"2022","New Mexico","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","114,274"
"2012","New Mexico","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","615,008"
"2017","New Mexico","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","633,762"
"2022","New Mexico","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","649,071"
"2012","New Mexico","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","232,774"
"2017","New Mexico","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","204,054"
"2022","New Mexico","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","230,556"
"2012","New Mexico","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","X"
"2017","New Mexico","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","X"
"2022","New Mexico","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","X"
"2012","New Mexico","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","396,059"
"2017","New Mexico","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","404,943"
"2022","New Mexico","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","416,051"
"2012","New Mexico","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","662,564"
"2017","New Mexico","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","676,773"
"2022","New Mexico","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","674,393"
"2012","New Mexico","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","34,494"
"2017","New Mexico","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","31,886"
"2022","New Mexico","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","31,532"
"2012","New York","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","57"
"2017","New York","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","57"
"2022","New York","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","57"
"2012","New York","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","1"
"2017","New York","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","2"
"2022","New York","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","2"
"2012","New York","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","13"
"2017","New York","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","13"
"2022","New York","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","13"
"2012","New York","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","11"
"2017","New York","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","13"
"2022","New York","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","14"
"2012","New York","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","5"
"2017","New York","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","5"
"2022","New York","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","5"
"2012","New York","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","21"
"2017","New York","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","18"
"2022","New York","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","17"
"2012","New York","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","5"
"2017","New York","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","5"
"2022","New York","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","5"
"2012","New York","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","1"
"2017","New York","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","1"
"2022","New York","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","1"
"2012","New York","Government Organization","GO0018","Total population of county governments","001","State and Local","11,202,969"
"2017","New York","Government Organization","GO0018","Total population of county governments","001","State and Local","11,226,701"
"2022","New York","Government Organization","GO0018","Total population of county governments","001","State and Local","11,368,400"
"2012","New York","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","18,343"
"2017","New York","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","42,955"
"2022","New York","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","42,365"
"2012","New York","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","2,062,885"
"2017","New York","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","2,046,907"
"2022","New York","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","2,064,008"
"2012","New York","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","440,326"
"2017","New York","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","544,751"
"2022","New York","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","584,899"
"2012","New York","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","1,753,218"
"2017","New York","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","1,781,672"
"2022","New York","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","1,827,843"
"2012","New York","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","1,477,982"
"2017","New York","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","1,290,050"
"2022","New York","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","1,223,177"
"2012","New York","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","5,445,379"
"2017","New York","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","5,515,881"
"2022","New York","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","5,620,989"
"2012","New York","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","4,836"
"2017","New York","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","4,485"
"2022","New York","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","5,119"
"2012","North Carolina","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","100"
"2017","North Carolina","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","100"
"2022","North Carolina","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","100"
"2012","North Carolina","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","22"
"2017","North Carolina","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","22"
"2022","North Carolina","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","22"
"2012","North Carolina","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","21"
"2017","North Carolina","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","20"
"2022","North Carolina","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","22"
"2012","North Carolina","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","21"
"2017","North Carolina","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","20"
"2022","North Carolina","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","23"
"2012","North Carolina","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","4"
"2017","North Carolina","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","4"
"2022","North Carolina","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","4"
"2012","North Carolina","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","26"
"2017","North Carolina","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","27"
"2022","North Carolina","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","22"
"2012","North Carolina","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","2"
"2017","North Carolina","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","3"
"2022","North Carolina","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","3"
"2012","North Carolina","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","4"
"2017","North Carolina","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","4"
"2022","North Carolina","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","4"
"2012","North Carolina","Government Organization","GO0018","Total population of county governments","001","State and Local","9,535,483"
"2017","North Carolina","Government Organization","GO0018","Total population of county governments","001","State and Local","10,273,419"
"2022","North Carolina","Government Organization","GO0018","Total population of county governments","001","State and Local","10,551,162"
"2012","North Carolina","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","387,314"
"2017","North Carolina","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","377,776"
"2022","North Carolina","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","362,144"
"2012","North Carolina","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","3,272,102"
"2017","North Carolina","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","3,284,390"
"2022","North Carolina","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","3,614,013"
"2012","North Carolina","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","798,159"
"2017","North Carolina","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","748,743"
"2022","North Carolina","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","888,156"
"2012","North Carolina","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","1,426,094"
"2017","North Carolina","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","1,278,113"
"2022","North Carolina","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","1,318,691"
"2012","North Carolina","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","1,802,135"
"2017","North Carolina","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","1,880,851"
"2022","North Carolina","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","1,528,208"
"2012","North Carolina","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","1,820,621"
"2017","North Carolina","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","2,675,993"
"2022","North Carolina","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","2,814,890"
"2012","North Carolina","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","29,058"
"2017","North Carolina","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","27,553"
"2022","North Carolina","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","25,060"
"2012","North Dakota","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","53"
"2017","North Dakota","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","53"
"2022","North Dakota","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","53"
"2012","North Dakota","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","8"
"2017","North Dakota","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","8"
"2022","North Dakota","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","7"
"2012","North Dakota","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","1"
"2017","North Dakota","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","1"
"2022","North Dakota","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","1"
"2012","North Dakota","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","1"
"2017","North Dakota","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","3"
"2022","North Dakota","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","3"
"2012","North Dakota","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","X"
"2017","North Dakota","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","X"
"2022","North Dakota","Government Organization","GO0014","Population-size group  - County Governments - 250,000 to 499,999 - Count","001","State and Local","X"
"2012","North Dakota","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","3"
"2017","North Dakota","Government Organization","GO0015","Population-size group  - County Governments - 50,000 to 99,999 - Count","001","State and Local","3"
